"X","광역시도","시군","pop","moon","hong","ahn","electionSum","electionRatio"
132,"강원도","화천군",17083,5161,5019,4000,14180,83.0064976877598
133,"강원도","양구군",14848,4526,4250,3519,12295,82.8057650862069
134,"강원도","철원군",29103,8998,8437,7101,24536,84.3074597120572
135,"충청북도","청주시상당구",106316,42308,27108,21983,91399,85.9691861996313
136,"충청북도","청주시서원구",134980,56521,30471,28912,115904,85.8675359312491
137,"충청북도","청주시흥덕구",153064,66281,31023,32756,130060,84.9709925260022
138,"충청북도","청주시청원구",115327,50487,24026,24203,98716,85.5966079062145
139,"충청북도","충주시",127426,43551,38532,28588,110671,86.8511920644139
140,"충청북도","제천시",84700,28517,26977,17768,73262,86.495867768595
141,"충청북도","단양군",19905,5708,7901,4026,17635,88.5958301934187
142,"충청북도","영동군",32554,10432,10958,7017,28407,87.2611660625422
143,"충청북도","보은군",22341,7268,7587,4910,19765,88.4696298285663
144,"충청북도","옥천군",33175,11181,10431,7465,29077,87.6473247927656
145,"충청북도","음성군",56788,20723,15180,13381,49284,86.7859406916954
146,"충청북도","진천군",41255,15844,10265,9489,35598,86.2877227002788
147,"충청북도","괴산군",25824,7876,9435,5830,23141,89.6104399008674
148,"충청북도","증평군",21786,8109,5608,5126,18843,86.4913247039383
149,"충청남도","천안시서북구",212329,94202,37293,47891,179386,84.4849266939514
150,"충청남도","천안시동남구",151132,59695,34869,34933,129497,85.6846994680147
151,"충청남도","공주시",67018,25036,18449,15814,59299,88.4821988122594
152,"충청남도","보령시",62825,20674,19453,15428,55555,88.4281734978114
153,"충청남도","아산시",173795,73461,36741,38368,148570,85.4857734687419
154,"충청남도","서산시",98859,37376,24572,23237,85185,86.1681789214943
155,"충청남도","태안군",38740,12881,12666,8940,34487,89.0216830149716
156,"충청남도","금산군",32968,11182,9416,8787,29385,89.131885464693
157,"충청남도","논산시",72434,28265,16948,18844,64057,88.4349890935196
158,"충청남도","계룡시",26530,9566,6261,6722,22549,84.9943460233698
159,"충청남도","당진시",95417,37191,23597,20852,81640,85.5612731483908
160,"충청남도","부여군",43288,13492,13761,11022,38275,88.4194233967843
161,"충청남도","서천군",34889,12554,9891,8744,31189,89.3949382326808
162,"충청남도","홍성군",59645,21021,16682,14251,51954,87.1053734596362
163,"충청남도","청양군",20667,6185,7104,5140,18429,89.171142400929
164,"충청남도","예산군",49668,13880,18911,11243,44034,88.6566803575743
165,"전라북도","전주시완산구",236383,157637,7003,50506,215146,91.0158513937127
166,"전라북도","전주시덕진구",187921,125375,5183,40188,170746,90.8605211764518
167,"전라북도","군산시",172330,109379,6360,42387,158126,91.7576742296756
168,"전라북도","익산시",192208,123422,6470,45737,175629,91.3744485141097
169,"전라북도","정읍시",73678,45894,2175,20111,68180,92.5377996145389
170,"전라북도","남원시",55371,35539,1939,13854,51332,92.7055678965523
171,"전라북도","김제시",57886,35870,2052,15880,53802,92.9447534809799
172,"전라북도","완주군",62470,41057,2107,13897,57061,91.3414438930687
173,"전라북도","진안군",18107,11918,819,3904,16641,91.9036836582537
174,"전라북도","무주군",17019,10381,1225,3998,15604,91.6857629707973
175,"전라북도","장수군",16079,10714,717,3353,14784,91.9460165433174
176,"전라북도","임실군",20381,12893,771,5009,18673,91.6196457484912
177,"전라북도","순창군",20126,12309,688,5624,18621,92.5221107025738
178,"전라북도","고창군",39188,23877,1215,11182,36274,92.5640502194549
179,"전라북도","부안군",36647,22482,1507,9837,33826,92.3022348350479
180,"전라남도","목포시",145476,77896,2584,53303,133783,91.9622480684099
181,"전라남도","여수시",185487,117586,4281,50228,172095,92.7800870141843
182,"전라남도","순천시",181451,122595,4525,40429,167549,92.3384274542438
183,"전라남도","나주시",71599,43967,1448,21011,66426,92.7750387575245
184,"전라남도","광양시",96384,63544,4100,20080,87724,91.0151062416999
185,"전라남도","담양군",33020,19961,698,10017,30676,92.9012719563901
186,"전라남도","장성군",30670,17378,851,10167,28396,92.5855885229866
187,"전라남도","곡성군",21247,12152,624,6850,19626,92.3706876264884
188,"전라남도","구례군",18924,11873,628,5188,17689,93.4738955823293
189,"전라남도","고흥군",47036,26882,1349,15614,43845,93.2158346798197
190,"전라남도","보성군",29967,16666,732,10514,27912,93.1424567023726
191,"전라남도","화순군",43572,25867,770,13832,40469,92.8784540530616
192,"전라남도","장흥군",27149,14821,636,9593,25050,92.2685918450035
193,"전라남도","강진군",25175,12476,753,10152,23381,92.8738828202582
194,"전라남도","완도군",34886,20945,762,11021,32728,93.8141374763515
195,"전라남도","해남군",48351,25901,1158,18157,45216,93.516163057641
196,"전라남도","진도군",21189,10392,511,8855,19758,93.2464958233045
197,"전라남도","영암군",36402,18999,825,13610,33434,91.846601835064
198,"전라남도","무안군",52516,29516,983,18052,48551,92.4499200243735
199,"전라남도","영광군",35919,20595,819,11675,33089,92.121161502269
200,"전라남도","함평군",23368,13539,471,7831,21841,93.4654228004108
201,"전라남도","신안군",28950,14370,713,12000,27083,93.5509499136442
202,"경상북도","포항시북구",171444,38629,77138,26901,142668,83.2155106040456
203,"경상북도","포항시남구",150740,34808,66319,24728,125855,83.4914422183893
204,"경상북도","울릉군",6810,1443,3520,973,5936,87.1659324522761
205,"경상북도","경주시",167296,38092,80090,23898,142080,84.9273144605968
206,"경상북도","김천시",92184,22255,43998,12803,79056,85.7589169487113
207,"경상북도","안동시",107357,23121,52978,15461,91560,85.2855426287992
208,"경상북도","구미시",246638,62573,98732,41141,202446,82.0822419902854
209,"경상북도","영주시",70861,15280,34504,10444,60228,84.9945668280154
210,"경상북도","영천시",66091,12250,35328,9175,56753,85.8709960508995
211,"경상북도","상주시",67717,12356,38171,9392,59919,88.4844278393904
212,"경상북도","문경시",49113,8616,27832,6905,43353,88.2719442917354
213,"경상북도","예천군",32124,5261,18863,4427,28551,88.8774747852073
214,"경상북도","경산시",160794,35602,72129,24606,132337,82.3022003308581
215,"경상북도","청도군",30398,5323,17678,3654,26655,87.6866899138101
216,"경상북도","고령군",22396,3754,13248,2600,19602,87.524557956778
217,"경상북도","성주군",30070,5409,16788,3586,25783,85.7432657133355
218,"경상북도","칠곡군",72006,16872,31540,11340,59752,82.9819737244118
219,"경상북도","군위군",17627,2251,11651,1939,15841,89.8678164179951
220,"경상북도","의성군",37855,5365,23790,4767,33922,89.6103553031304
221,"경상북도","청송군",18418,3218,10669,2387,16274,88.3592138125747
222,"경상북도","영양군",12048,2281,6554,1701,10536,87.4501992031873
223,"경상북도","영덕군",26125,3786,16314,3231,23331,89.3052631578947
224,"경상북도","봉화군",22947,4209,12536,3370,20115,87.6585174532619
225,"경상북도","울진군",32568,6972,16867,4476,28315,86.9411692458855
226,"경상남도","창원시의창구",164047,60757,56887,22830,140474,85.6303376471377
227,"경상남도","창원시성산구",153327,63717,42052,22923,128692,83.9330320165398
228,"경상남도","창원시마산합포구",119281,35592,54488,14686,104766,87.831255606509
229,"경상남도","창원시마산회원구",136757,45014,56340,17744,119098,87.087315457344
230,"경상남도","창원시진해구",114779,41249,40049,17435,98733,86.0200907831572
231,"경상남도","진주시",222813,73929,93751,26687,194367,87.233240430316
232,"경상남도","통영시",82855,25477,36128,10738,72343,87.3127753303965
